# Dataset "Data 0" exported from GenX on Wed Dec  6 15:34:13 2017
# Column lables:
# x	I_simulated	I	error(I)
1.000000000000000021e-02 1.000000000000000444e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.499999999999999944e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.999999999999999695e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.499999999999999792e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.999999999999999889e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.499999999999999639e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.999999999999999389e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.499999999999999833e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.999999999999999584e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.499999999999999334e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.999999999999999084e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.499999999999998834e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999278e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.499999999999998335e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.999999999999998779e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.499999999999997835e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.999999999999998279e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.499999999999998723e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999999999999997780e-02 9.999999999999995559e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.049999999999999822e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
